flexeme_id,inflection_class,lila_id_lemma,lila_id_ipolemma,hasInflectionType
a0010,0,86835,,v1r
a0015,1,86840,,v1r
a0015_2,1,86840,,v1r
a0015_3,2,86840,,v1r
a0018,0,86843,,v1r
a0021,0,86847,,v2r
a0021_2,0,86847,,v2r
a0022,3,86848,,v3r
a0027,0,86853,,v1r
a0030,1,86856,,v1r
a0030_2,1,86856,,v1r
a0034,1,86860,,v1r
a0035,4,86861,,v3r
a0038,5,86865,,v3r
a0038_2,0,86864,,v1r
a0038_3,,86865,,v3r
a0040,3,86867,,v3r
a0040_2,4,86867,,v3r
a0042,3,86872,,v3r
a0043,7,86873,,v6r
a0043_2,8,86873,,v6r
a0043_3,9,86873,,v6r
a0044,1,86874,,v1r
a0046,1,86876,,v1r
a0047,0,86877,,v1r
a0048,0,86878,,v2r
a0050,10,86880,,v2r
a0050_sc,11,86881,,v3r
a0052,12,86883,,v1d
a0053,13,86884,,v5r
a0061,0,86893,,v1r
a0063,14,86895,,v3r
a0063_2,15,86895,,v3r
a0066,3,86898,,v3r
a0066_2,3,86898,,v3r
a0066_3,3,86898,,v3r
a0067,1,86899,,v1r
a0068,0,86900,,v1r
a0069,16,86901,,v3r
a0072,1,86904,,v1r
a0073,1,86905,,v1r
a0075,1,86907,,v1r
a0077,1,86909,,v1r
a0077_2,1,86909,,v1r
a0083,1,86916,,v1r
a0085,0,86918,,v1r
a0086,17,86919,,v4r
a0086_2,18,86919,,v4r
a0086_3,17,86919,,v4r
a0086_4,18,86919,,v4r
a0089,3,86922,,v3r
a0090,1,86923,,v1r
a0091,3,86924,,v3r
a0097,0,86930,,v1r
a0101,1,86934,,v1r
a0101_2,1,86934,,v1r
a0104,0,86937,,v1r
a0105,19,86939,,v3r
a0105_2,20,86938,,v1r
a0110,0,86944,,v1r
a0111,21,86946,,v3r
a0111_2,22,86945,,v2r
a0113,0,86948,,v1r
a0114,23,86949,,v5r
a0116,24,86951,,v2r
a0116_2,25,86951,,v2r
a0116_3,26,86951,,v2r
a0122,1,86958,,v1r
a0125,27,86961,,v4d
a0125_2,,86961,,v4d
a0127,17,86963,,v4r
a0127_2,18,86963,,v4r
a0130,0,86968,,v1r
a0133,28,86971,,v3r
a0136,29,86974,,v1r
a0139,0,86977,,v1r
a0140,30,86978,,v5r
a0141,28,86979,,v3r
