form_id,lexeme,cell,orth_form,analysed_orth_form,flexeme
0,a0010,prs.act.inf,a b a e s t u m a r e,a b a e s t u m + a r e,a0010
1,a0010,fut.act.ind.3.sg,a b a e s t u m a b i t,a b a e s t u m + a b i t,a0010
2,a0015,prs.act.inf,a b a l e n a r e,a b a l e n + a r e,a0015
3,a0015,prs.act.inf,a b a l i e n a r e,a b a l i e n + a r e,a0015_2
4,a0015,fut.act.ind.3.sg,a b a l e n a b i t,a b a l e n + a b i t,a0015
5,a0015,fut.act.ind.3.sg,a b a l i e n a b i t,a b a l i e n + a b i t,a0015_2
6,a0015,prf.act.ind.1.sg,a b a l e n a u i,a b a l e n a u + i,a0015
7,a0015,prf.act.ind.1.sg,a b a l i e n a u i,a b a l i e n a u + i,a0015_2
8,a0015,prf.pass.ptcp.nom.n.sg,a b a l e n a t u m,a b a l e n a t + u m,a0015;a0015_3
9,a0015,prf.pass.ptcp.nom.n.sg,a b a l i e n a t u m,a b a l i e n a t + u m,a0015_2
10,a0015,fut.act.ptcp.nom.n.sg,a b a l e n a t u r u m,a b a l e n a t u r + u m,a0015
11,a0015,fut.act.ptcp.nom.n.sg,a b a l i e n a t u r u m,a b a l i e n a t u r + u m,a0015_2;a0015_3
12,a0018,prs.act.inf,a b a m b u l a r e,a b a m b u l + a r e,a0018
13,a0018,fut.act.ind.3.sg,a b a m b u l a b i t,a b a m b u l + a b i t,a0018
14,a0021,prs.act.inf,a b a r c e r e,a b a r c + e r e,a0021
15,a0021,prs.act.inf,a b e r c e r e,a b e r c + e r e,a0021_2
16,a0021,fut.act.ind.3.sg,a b a r c e b i t,a b a r c + e b i t,a0021
17,a0021,fut.act.ind.3.sg,a b e r c e b i t,a b e r c + e b i t,a0021_2
18,a0022,prs.act.inf,a b a r g u e r e,a b a r g u + e r e,a0022
19,a0022,fut.act.ind.3.sg,a b a r g u e t,a b a r g u + e t,a0022
20,a0027,prs.act.inf,a b b a r e,a b b + a r e,a0027
21,a0027,fut.act.ind.3.sg,a b b a b i t,a b b + a b i t,a0027
22,a0030,prs.act.inf,a b b r e u i a r e,a b b r e u i + a r e,a0030
23,a0030,prs.act.inf,a d b r e u i a r e,a d b r e u i + a r e,a0030_2
24,a0030,fut.act.ind.3.sg,a b b r e u i a b i t,a b b r e u i + a b i t,a0030
25,a0030,fut.act.ind.3.sg,a d b r e u i a b i t,a d b r e u i + a b i t,a0030_2
26,a0030,prf.act.ind.1.sg,a b b r e u i a u i,a b b r e u i a u + i,a0030
27,a0030,prf.act.ind.1.sg,a d b r e u i a u i,a d b r e u i a u + i,a0030_2
28,a0030,prf.pass.ptcp.nom.n.sg,a b b r e u i a t u m,a b b r e u i a t + u m,a0030
29,a0030,prf.pass.ptcp.nom.n.sg,a d b r e u i a t u m,a d b r e u i a t + u m,a0030_2
30,a0030,fut.act.ptcp.nom.n.sg,a b b r e u i a t u r u m,a b b r e u i a t u r + u m,a0030
31,a0030,fut.act.ptcp.nom.n.sg,a d b r e u i a t u r u m,a d b r e u i a t u r + u m,a0030_2
32,a0034,prs.act.inf,a b d i c a r e,a b d i c + a r e,a0034
33,a0034,fut.act.ind.3.sg,a b d i c a b i t,a b d i c + a b i t,a0034
34,a0034,prf.act.ind.1.sg,a b d i c a u i,a b d i c a u + i,a0034
35,a0034,prf.pass.ptcp.nom.n.sg,a b d i c a t u m,a b d i c a t + u m,a0034
36,a0034,fut.act.ptcp.nom.n.sg,a b d i c a t u r u m,a b d i c a t u r + u m,a0034
37,a0035,prs.act.inf,a b d i c e r e,a b d i c + e r e,a0035
38,a0035,fut.act.ind.3.sg,a b d i c e t,a b d i c + e t,a0035
39,a0035,prf.act.ind.1.sg,a b d i x i,a b d i x + i,a0035
40,a0035,prf.pass.ptcp.nom.n.sg,a b d i c t u m,a b d i c t + u m,a0035
41,a0035,fut.act.ptcp.nom.n.sg,a b d i c t u r u m,a b d i c t u r + u m,a0035
42,a0038,prs.act.inf,a b d e r e,a b d + e r e,a0038
43,a0038,prs.act.inf,a b s d a r e,a b s d + a r e,a0038_2
44,a0038,fut.act.ind.3.sg,a b d e t,a b d + e t,a0038
45,a0038,fut.act.ind.3.sg,a b s d a b i t,a b s d + a b i t,a0038_2
46,a0038,prf.act.ind.1.sg,a b d i d i,a b d i d + i,a0038
47,a0038,prf.act.ind.1.sg,a b s d i d i,a b s d i d + i,a0038_3
48,a0038,prf.pass.ptcp.nom.n.sg,a b d i t u m,a b d i t + u m,a0038
49,a0038,fut.act.ptcp.nom.n.sg,a b d i t u r u m,a b d i t u r + u m,a0038
50,a0040,prs.act.inf,a b d o u c e r e,a b d o u c + e r e,a0040
51,a0040,prs.act.inf,a b d u c e r e,a b d u c + e r e,a0040_2
52,a0040,fut.act.ind.3.sg,a b d o u c e t,a b d o u c + e t,a0040
53,a0040,fut.act.ind.3.sg,a b d u c e t,a b d u c + e t,a0040_2
54,a0040,prf.act.ind.1.sg,a b d u x i,a b d u x + i,a0040_2
55,a0040,prf.pass.ptcp.nom.n.sg,a b d u c t u m,a b d u c t + u m,a0040_2
56,a0040,fut.act.ptcp.nom.n.sg,a b d u c t u r u m,a b d u c t u r + u m,a0040_2
57,a0042,prs.act.inf,a b e m e r e,a b e m + e r e,a0042
58,a0042,fut.act.ind.3.sg,a b e m e t,a b e m + e t,a0042
59,a0043,prs.act.inf,a b i r e,a b i + r e,a0043;a0043_2;a0043_3
60,a0043,fut.act.ind.3.sg,a b i b i t,a b i + b i t,a0043
61,a0043,prf.act.ind.1.sg,a b i u i,a b i u + i,a0043_2
62,a0043,prf.act.ind.1.sg,a b i i,a b i + i,a0043_3
63,a0043,prf.pass.ptcp.nom.n.sg,a b i t u m,a b i t + u m,a0043;a0043_2;a0043_3
64,a0043,fut.act.ptcp.nom.n.sg,a b i t u r u m,a b i t u r + u m,a0043;a0043_2;a0043_3
65,a0044,prs.act.inf,a b e q u i t a r e,a b e q u i t + a r e,a0044
66,a0044,fut.act.ind.3.sg,a b e q u i t a b i t,a b e q u i t + a b i t,a0044
67,a0044,prf.act.ind.1.sg,a b e q u i t a u i,a b e q u i t a u + i,a0044
68,a0044,prf.pass.ptcp.nom.n.sg,a b e q u i t a t u m,a b e q u i t a t + u m,a0044
69,a0044,fut.act.ptcp.nom.n.sg,a b e q u i t a t u r u m,a b e q u i t a t u r + u m,a0044
70,a0046,prs.act.inf,a b e r r a r e,a b e r r + a r e,a0046
71,a0046,fut.act.ind.3.sg,a b e r r a b i t,a b e r r + a b i t,a0046
72,a0046,prf.act.ind.1.sg,a b e r r a u i,a b e r r a u + i,a0046
73,a0046,prf.pass.ptcp.nom.n.sg,a b e r r a t u m,a b e r r a t + u m,a0046
74,a0046,fut.act.ptcp.nom.n.sg,a b e r r a t u r u m,a b e r r a t u r + u m,a0046
75,a0047,prs.act.inf,a b g r e g a r e,a b g r e g + a r e,a0047
76,a0047,fut.act.ind.3.sg,a b g r e g a b i t,a b g r e g + a b i t,a0047
77,a0048,prs.act.inf,a b h i b e r e,a b h i b + e r e,a0048
78,a0048,fut.act.ind.3.sg,a b h i b e b i t,a b h i b + e b i t,a0048
79,a0050,prs.act.inf,a b h o r r e r e,a b h o r r + e r e,a0050
80,a0050,fut.act.ind.3.sg,a b h o r r e b i t,a b h o r r + e b i t,a0050
81,a0050,prf.act.ind.1.sg,a b h o r r u i,a b h o r r u + i,a0050
82,a0050_sc,prs.act.inf,a b h o r r e s c e r e,a b h o r r e s c + e r e,a0050_sc
83,a0050_sc,fut.act.ind.3.sg,a b h o r r e s c e t,a b h o r r e s c + e t,a0050_sc
84,a0050_sc,prf.act.ind.1.sg,a b h o r r u i,a b h o r r u + i,a0050_sc
85,a0052,prs.act.inf,#DEF#,#DEF#,a0052
86,a0052,fut.act.ind.3.sg,#DEF#,#DEF#,a0052
87,a0052,prs.pass.inf,a b h o r t a r i,a b h o r t + a r i,a0052
88,a0052,fut.pass.ind.3.sg,a b h o r t a b i t u r,a b h o r t + a b i t u r,a0052
89,a0052,prf.act.ind.1.sg,#DEF#,#DEF#,a0052
90,a0052,prf.act.ind.3.sg,#DEF#,#DEF#,a0052
91,a0053,prs.act.inf,a b i c e r e,a b i c + e r e,a0053
92,a0053,fut.act.ind.3.sg,a b i c i e t,a b i c + i e t,a0053
93,a0053,prf.act.ind.1.sg,a b i e c i,a b i e c + i,a0053
94,a0053,prf.pass.ptcp.nom.n.sg,a b i e c t u m,a b i e c t + u m,a0053
95,a0053,fut.act.ptcp.nom.n.sg,a b i e c t u r u m,a b i e c t u r + u m,a0053
96,a0061,prs.act.inf,a b i g e a r e,a b i g e + a r e,a0061
97,a0061,fut.act.ind.3.sg,a b i g e a b i t,a b i g e + a b i t,a0061
98,a0063,prs.act.inf,a b a g e r e,a b a g + e r e,a0063
99,a0063,prs.act.inf,a b i g e r e,a b i g + e r e,a0063_2
100,a0063,fut.act.ind.3.sg,a b a g e t,a b a g + e t,a0063
101,a0063,fut.act.ind.3.sg,a b i g e t,a b i g + e t,a0063_2
102,a0063,prf.act.ind.1.sg,a b e g i,a b e g + i,a0063;a0063_2
103,a0063,prf.pass.ptcp.nom.n.sg,a b a c t u m,a b a c t + u m,a0063;a0063_2
