id,inflection_class,pattern
0,0,0
1,1,0
2,1,9
3,1,117
4,1,235
5,1,359
6,1,467
7,1,586
8,1,826
9,1,874
10,1,924
11,2,925
12,3,1
13,4,1
14,4,10
15,4,118
16,4,236
17,4,360
18,4,468
19,4,587
20,4,827
21,4,875
22,4,924
23,5,1
24,5,11
25,5,119
26,5,237
27,5,361
28,5,469
29,5,588
30,5,828
31,5,876
32,5,924
33,7,0
34,7,120
35,7,238
36,7,470
37,7,589
38,7,924
39,8,12
40,8,120
41,8,238
42,8,826
43,8,874
44,8,924
45,9,13
46,9,120
47,9,238
48,9,829
49,9,877
50,9,924
51,10,0
52,10,14
53,10,362
54,11,1
55,11,15
56,11,363
57,12,712
58,13,2
59,13,16
60,13,121
61,13,239
62,13,364
63,13,471
64,13,590
65,13,829
66,13,877
67,13,924
68,14,1
69,14,17
70,14,122
71,14,240
72,14,365
73,14,472
74,14,591
75,14,830
76,14,878
77,14,924
78,15,1
79,15,18
80,15,123
81,15,241
82,15,366
83,15,473
84,15,592
85,15,830
86,15,878
87,15,924
88,16,1
89,16,19
90,16,122
91,16,240
92,16,367
93,16,472
94,16,591
95,16,827
96,16,875
97,16,924
98,17,3
99,17,12
100,17,120
101,17,238
102,17,368
103,17,468
104,17,587
105,17,826
106,17,874
107,17,924
108,18,3
109,18,13
110,18,120
111,18,238
112,18,369
113,18,468
114,18,587
115,18,829
116,18,877
117,18,924
118,19,1
119,19,20
120,19,369
121,20,0
122,20,21
123,20,370
124,21,1
125,21,20
126,21,237
127,21,369
128,21,588
129,21,879
130,22,0
131,22,22
132,22,242
133,22,371
134,22,593
135,22,879
136,23,2
137,23,17
138,23,118
139,23,236
140,23,372
141,23,474
142,23,594
143,23,831
144,23,880
145,23,924
146,24,0
147,24,23
148,24,124
149,24,373
150,24,475
151,24,826
152,25,0
153,25,23
154,25,125
155,25,242
156,25,373
157,25,476
158,25,593
159,25,832
160,25,881
161,25,924
162,26,0
163,26,14
164,26,125
165,26,242
166,26,362
167,26,476
168,26,593
169,26,833
170,26,882
171,26,924
172,27,713
173,27,720
174,27,748
175,27,774
176,27,801
177,27,924
178,28,1
179,28,24
180,28,126
181,28,243
182,28,374
183,28,477
184,28,595
185,28,834
186,28,883
187,28,924
188,29,0
189,29,9
190,29,359
191,30,2
192,30,25
193,30,127
194,30,244
195,30,375
196,30,478
197,30,596
198,30,835
199,30,884
200,30,924
201,31,4
202,31,128
203,31,468
204,32,1
205,32,26
206,32,129
207,32,245
208,32,376
209,32,479
210,32,597
211,32,829
212,32,877
213,32,924
214,33,1
215,33,27
216,33,130
217,33,246
218,33,377
219,33,480
220,33,598
221,33,834
222,33,883
223,33,924
224,34,1
225,34,20
226,34,126
227,34,243
228,34,369
229,34,477
230,34,595
231,34,836
232,34,885
233,34,924
234,35,1
235,35,28
236,35,131
237,35,247
238,35,378
239,35,481
240,35,599
241,35,837
242,35,886
243,35,924
244,36,1
245,36,20
246,36,119
247,36,237
248,36,369
249,36,469
250,36,588
251,36,838
252,36,879
253,36,924
254,37,3
255,38,1
256,38,29
257,38,132
258,38,248
259,38,379
260,38,482
261,38,600
262,38,834
263,38,883
264,38,924
265,39,1
266,39,20
267,39,118
268,39,236
269,39,369
270,39,468
271,39,587
272,39,829
273,39,877
274,39,924
275,40,0
276,40,30
277,40,380
278,41,0
279,41,31
280,41,381
281,42,827
282,42,875
283,42,924
284,43,0
285,43,32
286,43,133
287,43,249
288,43,382
289,43,483
290,43,601
291,43,834
292,43,883
293,43,924
294,44,0
295,44,14
296,44,134
297,44,250
298,44,362
299,44,484
300,44,602
301,44,835
302,44,884
303,44,924
304,45,0
305,45,22
306,45,371
307,46,1
308,46,33
309,46,135
310,46,251
311,46,383
312,46,485
313,46,603
314,46,827
315,46,875
316,46,924
317,47,5
318,47,34
319,47,252
320,47,384
321,47,604
322,47,877
323,48,877
324,49,1
325,49,35
326,49,136
327,49,253
328,49,385
329,49,486
330,49,605
331,49,827
332,49,875
333,49,924
334,50,1
335,50,10
336,50,360
337,51,714
338,51,721
339,51,749
340,51,775
341,51,802
342,51,924
343,52,1
344,52,25
345,52,368
346,53,0
347,53,117
348,53,467
349,54,1
350,54,20
351,54,130
352,54,246
353,54,369
354,54,480
355,54,598
356,54,837
357,54,886
358,54,924
359,55,0
360,55,137
361,55,254
362,55,487
363,55,606
364,55,924
365,56,2
366,56,18
367,56,127
368,56,244
369,56,386
370,56,478
371,56,596
372,56,829
373,56,877
374,56,924
375,57,1
376,57,36
377,57,138
378,57,255
379,57,387
380,57,488
381,57,607
382,57,839
383,57,887
384,57,924
385,58,1
386,58,25
387,58,139
388,58,256
389,58,368
390,58,489
391,58,608
392,58,840
393,58,888
394,58,924
395,59,1
396,59,36
397,59,140
398,59,257
399,59,387
400,59,490
401,59,609
402,59,826
403,59,874
404,59,924
405,60,1
406,60,37
407,60,141
408,60,258
409,60,388
410,60,491
411,60,610
412,60,833
413,60,882
414,60,924
415,61,1
416,61,20
417,61,142
418,61,259
419,61,369
420,61,492
421,61,611
422,61,841
423,61,889
424,61,924
425,62,1
426,62,38
427,62,389
428,63,1
429,63,36
430,63,387
431,64,829
432,64,877
433,64,924
434,65,1
435,65,39
436,65,143
437,65,260
438,65,390
439,65,493
440,65,612
441,65,826
442,65,874
443,65,924
444,66,1
445,66,15
446,66,144
447,66,261
448,66,363
449,66,494
450,66,613
451,66,840
452,66,888
453,66,924
454,67,3
455,67,40
456,67,145
457,67,262
458,67,375
459,67,474
460,67,594
461,67,826
462,67,874
463,67,924
464,68,0
465,68,41
466,68,146
467,68,263
468,68,391
469,68,495
470,68,614
471,68,827
472,68,875
473,68,924
474,69,713
475,70,1
476,70,42
477,70,392
478,71,0
479,71,43
480,71,147
481,71,264
482,71,393
483,71,496
484,71,615
485,71,834
486,71,883
487,71,924
488,72,712
489,72,722
490,72,750
491,72,776
492,72,803
493,72,924
494,73,1
495,73,18
496,73,148
497,73,265
498,73,366
499,73,497
500,73,616
501,73,842
502,73,890
503,73,924
504,74,0
505,74,23
506,74,124
507,74,266
508,74,373
509,74,475
510,74,617
511,74,826
512,74,874
513,74,924
514,75,715
515,76,3
516,76,44
517,76,145
518,76,262
519,76,394
520,76,474
521,76,594
522,76,829
523,76,877
524,76,924
525,77,714
526,77,723
527,77,751
528,77,777
529,77,804
530,77,924
531,78,0
532,78,9
533,78,235
534,78,359
535,78,586
536,78,874
537,79,0
538,79,21
539,79,149
540,79,370
541,79,498
542,79,826
543,80,826
544,80,874
545,80,924
546,81,0
547,81,352
548,81,705
549,82,713
550,82,724
551,82,752
552,82,778
553,82,805
554,82,924
555,83,0
556,83,14
557,83,150
558,83,267
559,83,362
560,83,499
561,83,618
562,83,843
563,83,891
564,83,924
565,84,844
566,84,892
567,84,924
568,85,1
569,85,45
570,85,151
571,85,268
572,85,395
573,85,500
574,85,619
575,85,845
576,85,893
577,85,924
578,86,713
579,86,725
580,86,753
581,86,779
582,86,806
583,86,924
584,87,0
585,87,22
586,87,152
587,87,269
588,87,371
589,87,501
590,87,620
591,87,836
592,87,885
593,87,924
594,88,0
595,88,22
596,88,153
597,88,270
598,88,371
599,88,502
600,88,621
601,88,826
602,88,874
603,88,924
604,89,1
605,89,46
606,89,154
607,89,271
608,89,396
609,89,503
610,89,622
611,89,846
612,89,894
613,89,924
614,90,924
615,91,1
616,91,155
617,91,272
618,91,504
619,91,623
620,91,924
621,92,3
622,92,145
623,92,262
624,92,474
625,92,594
626,92,924
627,93,1
628,93,135
629,93,485
630,94,1
631,94,20
632,94,154
633,94,271
634,94,369
635,94,503
636,94,622
637,94,847
638,94,895
