pattern_id,pattern_alternation,cell_left,cell_right
0,re ⇌ bit / X*[ā-ē-ī]_,prs.act.inf,fut.act.ind.3.sg
1,er_ ⇌ _t / X*[-labdent]+_[e-r-ē]+_,prs.act.inf,fut.act.ind.3.sg
2,_re ⇌ i_t / X*[-spread -labdent][-spread -lat -labdent -low]_[c-d-e-g-s-t-z-ē]+_,prs.act.inf,fut.act.ind.3.sg
3,īr_ ⇌ i_t / X*[-spread -low]_e_,prs.act.inf,fut.act.ind.3.sg
4,rī ⇌ t / [-spread]*fie_,prs.act.inf,fut.act.ind.3.sg
5,sse ⇌ rit / [-spread -lat -labdent]*e_,prs.act.inf,fut.act.ind.3.sg
6,r_ ⇌ _t / [-spread -lat]*fe_re_,prs.act.inf,fut.act.ind.3.sg
7,l_ ⇌ _t / [m-n][a-o]_le_,prs.act.inf,fut.act.ind.3.sg
8,ss_ ⇌ t_rit / po_e_,prs.act.inf,fut.act.ind.3.sg
9,āre ⇌ auī / X*[-low]_,prs.act.inf,prf.act.ind.1.sg
10,ere ⇌ sī / [-spread -labdent]+[e-i-l-o-r-u-y-ē-ī-ō-ū][b-c-g-m-p-q]_,prs.act.inf,prf.act.ind.1.sg
11,ere ⇌ idī / [-spread -lat -labdent]+d_,prs.act.inf,prf.act.ind.1.sg
12,_re ⇌ iu_ / X*_[i-u-y-ī-ū]+_,prs.act.inf,prf.act.ind.1.sg
13,_re ⇌ i_ / X*_ī_,prs.act.inf,prf.act.ind.1.sg
14,ēre ⇌ uī / X*[-spread -labdent][-spread -labdent -low]_,prs.act.inf,prf.act.ind.1.sg
15,escere ⇌ uī / X*[-spread -labdent][-spread -labdent -low]_,prs.act.inf,prf.act.ind.1.sg
16,_ere ⇌ e_ī / [-spread -lat -labdent]+[e-i-l-o-r-u-y-ē-ī-ō-ū]_[c-g-q-u-ū]_,prs.act.inf,prf.act.ind.1.sg
17,a_ere ⇌ e_ī / X*[-spread -low]*_[-spread -nas -lat -labdent -low]+_,prs.act.inf,prf.act.ind.1.sg
18,i_ere ⇌ e_ī / [-spread]+_[b-c-d-g-m-n-p-q-s-t-z]+_,prs.act.inf,prf.act.ind.1.sg
19,gere ⇌ csī / [-spread]*[-spread -nas][e-i-m-n-o-r-u-y-ē-ī-ō-ū]_,prs.act.inf,prf.act.ind.1.sg
20,ere ⇌ ī / X*[-spread -labdent][-spread -labdent -low]_,prs.act.inf,prf.act.ind.1.sg
21,āre ⇌ ī / [-spread -nas -lat -labdent]*[-spread -low -back][-spread -lat -labdent][b-d-e-g-i-o-r-u-y-z-ē-ī-ō-ū]_,prs.act.inf,prf.act.ind.1.sg
22,ēre ⇌ ī / [-spread]*[-spread -lat][-spread -lat -labdent][-spread -lat -labdent -low]_,prs.act.inf,prf.act.ind.1.sg
23,ēr_ ⇌ _uī / [-spread -lat]*[e-i-l-m-n-o-r-u-y-ē-ī-ō-ū]_e_,prs.act.inf,prf.act.ind.1.sg
24,dere ⇌ sī / [-spread -labdent]*[-spread -nas][a-e-i-m-n-o-r-u-y-ā-ē-ī-ō-ū]_,prs.act.inf,prf.act.ind.1.sg
25,ere ⇌ uī / [-spread]*[-spread -labdent][-spread -labdent -low]_,prs.act.inf,prf.act.ind.1.sg
26,m_ere ⇌ _ī / [-spread -lat -labdent]*[d-r-z][i-u]_[-spread -lat -labdent -low]+_,prs.act.inf,prf.act.ind.1.sg
27,eder_ ⇌ _ssī / [-spread -lat -labdent]*c_e_,prs.act.inf,prf.act.ind.1.sg
28,n_ere ⇌ _ī / [-spread]*[-spread -nas -low][-long]_[-spread -nas -lat -labdent -low]+_,prs.act.inf,prf.act.ind.1.sg
29,_s_ere ⇌ t__ī / [-spread -lat -labdent]*s_i_t_,prs.act.inf,prf.act.ind.1.sg
30,āre ⇌ uī / [-spread -lat]*[-spread -labdent -low][a-c-e-g-i-o-q-u-y-ā-ē-ī-ō-ū][b-c-d-g-l-m-n-p-q-r-s-t-z]_,prs.act.inf,prf.act.ind.1.sg
31,ēre ⇌ sī / [-spread -labdent]*[a-e-l-m-n-o-r-ā-ē-ō][a-e-i-o-r-u-y-ā-ē-ī-ō-ū][b-c-d-g-m-n-p-q-t]_,prs.act.inf,prf.act.ind.1.sg
32,gēre ⇌ sī / [-spread -lat]*[-long][l-r]_,prs.act.inf,prf.act.ind.1.sg
33,here ⇌ csī / [-spread -lat -labdent]*[e-i-o-r-u-y-ē-ī-ō-ū][a-e]_,prs.act.inf,prf.act.ind.1.sg
34,esse ⇌ fuī / [-spread -lat -labdent]*_,prs.act.inf,prf.act.ind.1.sg
35,ere ⇌ psī / [-spread -lat -labdent]*[e-i-o-u]m_,prs.act.inf,prf.act.ind.1.sg
36,scere ⇌ uī / [-spread]*[-spread -labdent -low][-long]_,prs.act.inf,prf.act.ind.1.sg
37,m_ere ⇌ _uī / [-spread -nas -lat -labdent -low]*[a-b-d-e-g-i-o-r-u-y-z-ā-ē-ī-ō-ū][-spread -lat -labdent -low]cu_b_,prs.act.inf,prf.act.ind.1.sg
38,iscere ⇌ uī / [-spread -labdent]*[a-e-i-m-n-o-r-u-y-ā-ē-ī-ō-ū][b-c-d-g-l-m-n-p-q-r-s-t-z]_,prs.act.inf,prf.act.ind.1.sg
39,rere ⇌ siuī / [-spread -lat -labdent]*[-spread -lat -labdent -low][q-u-ū][a-o-u][e-i]_,prs.act.inf,prf.act.ind.1.sg
40,_re ⇌ u_ / [-spread]*[-spread -labdent -high][a-e-i-o-r-u-y-ā-ē-ī-ō-ū][c-d-g-l-r-s-t-z]_ī_,prs.act.inf,prf.act.ind.1.sg
41,gēre ⇌ csī / [-spread -lat]*[-spread +cont -nas -labdent][e-i-l-o-r-u-y-ē-ī-ō-ū]_,prs.act.inf,prf.act.ind.1.sg
42,s_ere ⇌ di_ī / [-spread -lat -labdent]*[d-r-z][a-e-i]_[c-d-g-t]_,prs.act.inf,prf.act.ind.1.sg
43,erēr_ ⇌ _sī / [-spread -lat -labdent]*ha_e_,prs.act.inf,prf.act.ind.1.sg
